Channel,fmin,fmax,tbeg,tend,noiselevel
44,25.00,50.00,0.012000,0.350000,0.00000601
45,25.00,50.00,0.012000,0.282000,0.00000780
46,25.00,50.00,0.012000,0.282000,0.00001355
47,25.00,50.00,0.012000,0.204000,0.00001155
48,25.00,50.00,0.012000,0.230000,0.00001259
49,25.00,50.00,0.012000,0.346000,0.00001012
50,25.00,50.00,0.012000,0.502000,0.00001102
51,25.00,50.00,0.012000,0.472000,0.00000538
52,25.00,50.00,0.012000,0.136000,0.00001142
53,25.00,50.00,0.012000,0.160000,0.00001090
54,25.00,50.00,0.012000,0.196000,0.00000781
55,25.00,50.00,0.012000,0.258000,0.00001862
56,25.00,50.00,0.012000,0.414000,0.00000883
57,25.00,50.00,0.012000,0.386000,0.00001982
58,25.00,50.00,0.012000,0.290000,0.00000600
59,25.00,50.00,0.012000,0.256000,0.00000996
60,25.00,50.00,0.012000,0.602000,0.00002152
61,25.00,50.00,0.012000,0.578000,0.00002651
62,25.00,50.00,0.012000,0.554000,0.00002913
63,25.00,50.00,0.012000,0.436000,0.00940489
64,25.00,50.00,0.012000,0.480000,0.00717694
65,25.00,50.00,0.012000,0.562000,0.00307067
66,25.00,50.00,0.012000,0.508000,0.00000951
67,25.00,50.00,0.012000,0.512000,0.00000801
68,25.00,50.00,0.012000,0.684000,0.00002114
69,25.00,50.00,0.012000,0.466000,0.00000647
70,25.00,50.00,0.012000,0.552000,0.00001648
71,25.00,50.00,0.012000,0.532000,0.00001960
72,25.00,50.00,0.012000,0.752000,0.00007795
73,25.00,50.00,0.012000,0.664000,0.00294938
74,25.00,50.00,0.012000,0.702000,0.00383427
75,25.00,50.00,0.012000,0.684000,0.00315995
76,25.00,50.00,0.012000,0.810000,0.00012331
77,25.00,50.00,0.012000,0.726000,0.00239612
78,25.00,50.00,0.012000,0.726000,0.00194286
79,25.00,50.00,0.012000,0.778000,0.00078955
80,25.00,50.00,0.012000,0.226000,0.00000632
81,25.00,50.00,0.012000,0.342000,0.00000675
82,25.00,50.00,0.012000,0.258000,0.00001370
83,25.00,50.00,0.012000,0.276000,0.00000808
84,25.00,50.00,0.012000,0.314000,0.00000574
85,25.00,50.00,0.012000,0.288000,0.00000721
86,25.00,50.00,0.012000,0.282000,0.00000957
87,25.00,50.00,0.012000,0.276000,0.00000985
88,25.00,50.00,0.012000,0.608000,0.00002609
89,25.00,50.00,0.012000,0.682000,0.00002911
90,25.00,50.00,0.012000,0.676000,0.00006776
91,25.00,50.00,0.012000,0.372000,0.00001428
92,25.00,50.00,0.012000,0.684000,0.00090857
93,25.00,50.00,0.012000,0.700000,0.00621505
