Channel,fmin,fmax,tbeg,tend,noiselevel
44,25.00,50.00,0.012000,0.394000,0.00005227
45,25.00,50.00,0.012000,0.508000,0.00004457
46,25.00,50.00,0.012000,0.524000,0.00000938
47,25.00,50.00,0.012000,0.184000,0.00000387
48,25.00,50.00,0.012000,0.302000,0.00001311
49,25.00,50.00,0.012000,0.190000,0.00001544
50,25.00,50.00,0.012000,0.208000,0.00003785
51,25.00,50.00,0.012000,0.462000,0.00002296
52,25.00,50.00,0.012000,0.520000,0.00000688
53,25.00,50.00,0.012000,0.290000,0.00000733
54,25.00,50.00,0.012000,0.248000,0.00000813
55,25.00,50.00,0.012000,0.280000,0.00001186
56,25.00,50.00,0.012000,0.440000,0.00000860
57,25.00,50.00,0.012000,0.424000,0.00000954
58,25.00,50.00,0.012000,0.366000,0.00000752
59,25.00,50.00,0.012000,0.300000,0.00001327
60,25.00,50.00,0.012000,0.516000,0.00001084
61,25.00,50.00,0.012000,0.518000,0.00000989
62,25.00,50.00,0.012000,0.454000,0.00018095
63,25.00,50.00,0.012000,0.392000,0.01606074
64,25.00,50.00,0.012000,0.394000,0.01702995
65,25.00,50.00,0.012000,0.390000,0.02019548
66,25.00,50.00,0.012000,0.338000,0.00000807
67,25.00,50.00,0.012000,0.574000,0.00000979
68,25.00,50.00,0.012000,0.526000,0.00000609
69,25.00,50.00,0.012000,0.524000,0.00000917
70,25.00,50.00,0.012000,0.560000,0.00001175
71,25.00,50.00,0.012000,0.422000,0.00000894
72,25.00,50.00,0.012000,0.646000,0.00003952
73,25.00,50.00,0.012000,0.722000,0.00185307
74,25.00,50.00,0.012000,0.724000,0.00203405
75,25.00,50.00,0.012000,0.724000,0.00213049
76,25.00,50.00,0.012000,0.562000,0.05111472
77,25.00,50.00,0.012000,0.562000,0.08131221
78,25.00,50.00,0.012000,0.560000,0.08077025
79,25.00,50.00,0.012000,0.560000,0.06136497
80,25.00,50.00,0.012000,0.706000,0.00022397
81,25.00,50.00,0.012000,0.376000,0.00000874
82,25.00,50.00,0.012000,0.254000,0.00000561
83,25.00,50.00,0.012000,0.256000,0.00000420
84,25.00,50.00,0.012000,0.222000,0.00000357
85,25.00,50.00,0.012000,0.260000,0.00000367
86,25.00,50.00,0.012000,0.278000,0.00000393
87,25.00,50.00,0.012000,0.224000,0.00000401
88,25.00,50.00,0.012000,0.418000,0.00004601
89,25.00,50.00,0.012000,0.348000,0.00003589
90,25.00,50.00,0.012000,0.390000,0.00003682
91,25.00,50.00,0.012000,0.328000,0.00000530
92,25.00,50.00,0.012000,0.580000,0.00052533
93,25.00,50.00,0.012000,0.604000,0.00812589
