Channel,fmin,fmax,tbeg,tend,noiselevel
44,25.00,50.00,0.012000,0.400000,0.00003526
45,25.00,50.00,0.012000,0.506000,0.00003731
46,25.00,50.00,0.012000,0.524000,0.00000740
47,25.00,50.00,0.012000,0.314000,0.00000788
48,25.00,50.00,0.012000,0.272000,0.00001368
49,25.00,50.00,0.012000,0.356000,0.00001864
50,25.00,50.00,0.012000,0.220000,0.00002363
51,25.00,50.00,0.012000,0.604000,0.00001177
52,25.00,50.00,0.012000,0.372000,0.00000785
53,25.00,50.00,0.012000,0.322000,0.00000701
54,25.00,50.00,0.012000,0.272000,0.00001038
55,25.00,50.00,0.012000,0.332000,0.00001645
56,25.00,50.00,0.012000,0.472000,0.00000962
57,25.00,50.00,0.012000,0.476000,0.00000854
58,25.00,50.00,0.012000,0.380000,0.00000516
59,25.00,50.00,0.012000,0.198000,0.00004231
60,25.00,50.00,0.012000,0.568000,0.00001389
61,25.00,50.00,0.012000,0.546000,0.00000984
62,25.00,50.00,0.012000,0.532000,0.00010773
63,25.00,50.00,0.012000,0.392000,0.01606074
64,25.00,50.00,0.012000,0.464000,0.01604661
65,25.00,50.00,0.012000,0.390000,0.02019548
66,25.00,50.00,0.012000,0.344000,0.00000666
67,25.00,50.00,0.012000,0.564000,0.00000835
68,25.00,50.00,0.012000,0.570000,0.00000594
69,25.00,50.00,0.012000,0.522000,0.00001067
70,25.00,50.00,0.012000,0.686000,0.00001163
71,25.00,50.00,0.012000,0.508000,0.00000945
72,25.00,50.00,0.012000,0.740000,0.00000808
73,25.00,50.00,0.012000,0.736000,0.00147503
74,25.00,50.00,0.012000,0.754000,0.00146467
75,25.00,50.00,0.012000,0.736000,0.00160387
76,25.00,50.00,0.012000,0.560000,0.05345503
77,25.00,50.00,0.012000,0.560000,0.08598759
78,25.00,50.00,0.012000,0.560000,0.08655490
79,25.00,50.00,0.012000,0.560000,0.06383011
80,25.00,50.00,0.012000,0.706000,0.00019965
81,25.00,50.00,0.012000,0.504000,0.00000537
82,25.00,50.00,0.012000,0.248000,0.00000634
83,25.00,50.00,0.012000,0.262000,0.00000392
84,25.00,50.00,0.012000,0.220000,0.00000518
85,25.00,50.00,0.012000,0.294000,0.00000243
86,25.00,50.00,0.012000,0.278000,0.00000352
87,25.00,50.00,0.012000,0.234000,0.00000356
88,25.00,50.00,0.012000,0.742000,0.00005842
89,25.00,50.00,0.012000,0.802000,0.00003867
90,25.00,50.00,0.012000,0.714000,0.00004375
91,25.00,50.00,0.012000,0.300000,0.00000562
92,25.00,50.00,0.012000,0.580000,0.00051629
93,25.00,50.00,0.012000,0.602000,0.00789667
