distance (m),interp_porosity_10cm,interp_porosity_20cm,interp_porosity_30cm,interp_bulk_density_10cm,interp_bulk_density_20cm,interp_bulk_density_30cm
0.0,59.84,59.02,,1.06,1.09,
3.19,53.40123684210526,51.10376315789474,,1.2362894736842105,1.2998684210526317,
6.38,55.29994736842105,52.14963157894737,50.42773684210526,1.1885263157894737,1.2721052631578948,1.3153157894736842
9.57,52.38897368421053,50.01618421052631,51.554500000000004,1.2640526315789475,1.3281315789473684,1.2851842105263158
12.76,48.456736842105265,48.64578947368421,51.076,1.366421052631579,1.3634736842105262,1.297157894736842
15.95,50.84171052631579,51.00407894736842,50.380394736842106,1.302763157894737,1.299736842105263,1.3178947368421052
19.14,59.01094736842105,47.867,49.07463157894737,1.0821578947368422,1.3818421052631578,1.349263157894737
22.33,48.55110526315789,46.4315,49.86373684210526,1.3591842105263159,1.4238157894736843,1.3324736842105265
25.52,49.60115789473684,49.11178947368421,48.31221052631579,1.335578947368421,1.3512631578947367,1.3729473684210527
28.71,57.248736842105274,53.06407894736842,52.10321052631579,1.132315789473684,1.2422631578947367,1.2678421052631577
31.9,61.51973684210526,53.90736842105263,54.99236842105263,1.0176315789473684,1.218157894736842,1.1884210526315788
35.089999999999996,59.32871052631579,50.92443859649123,53.551271929824566,1.0763947368421052,1.2993070175438595,1.2275964912280701
38.28,57.13768421052631,47.94150877192982,52.11017543859649,1.1351578947368421,1.3804561403508773,1.2667719298245614
41.47,54.94665789473684,44.958578947368416,50.669078947368426,1.1939210526315789,1.4616052631578946,1.3059473684210527
44.66,51.28047368421052,46.26063157894737,46.42568421052631,1.2903157894736843,1.424842105263158,1.4228947368421052
47.85,52.28157894736842,49.13473684210527,47.223421052631586,1.2667105263157894,1.3507894736842103,1.4007894736842104
51.04,54.160000000000004,50.823368421052635,49.580421052631586,1.2170526315789474,1.3056842105263158,1.338421052631579
54.23,53.352868421052634,49.85205263157895,48.21107894736842,1.235236842105263,1.3271052631578948,1.3750526315789475
57.42,50.564473684210526,47.828842105263156,42.29973684210526,1.3078947368421052,1.377894736842105,1.5267894736842105
60.61,56.9025,54.276,49.057500000000005,1.1399999999999997,1.21,1.3505
63.8,48.398421052631576,47.15999999999999,44.88105263157894,1.3668421052631579,1.3973684210526316,1.458421052631579
66.99,48.33823684210527,44.53734210526316,45.5091052631579,1.3671052631578946,1.4688684210526315,1.4459736842105262
70.17999999999999,51.56431578947368,46.3387894736842,47.01221052631579,1.2831578947368423,1.4237894736842107,1.4059473684210526
73.37,53.91194736842105,49.177684210526316,47.802263157894735,1.2238421052631578,1.3497368421052631,1.3817894736842105
76.56,54.54435087719298,50.20743859649123,48.680912280701754,1.2070526315789474,1.3217543859649123,1.3594035087719298
79.75,55.17675438596491,51.237192982456136,49.559561403508766,1.1902631578947367,1.2937719298245614,1.3370175438596492
82.94,55.80915789473684,52.26694736842105,50.438210526315785,1.1734736842105262,1.2657894736842106,1.3146315789473684
86.13,60.16776315789474,55.28963157894737,51.139315789473685,1.056815789473684,1.1867631578947366,1.2966842105263159
89.32,55.90347368421051,52.693263157894734,49.41431578947368,1.1667368421052635,1.2561052631578948,1.3405263157894738
92.51,50.25328947368421,49.528421052631586,48.49386842105264,1.3162105263157895,1.339315789473684,1.3624210526315785
95.7,53.49447368421053,51.24815789473684,50.493421052631575,1.234736842105263,1.2926315789473684,1.31
98.89,62.38323684210525,52.37484210526315,50.56397368421052,1.0001842105263161,1.262842105263158,1.314263157894737
102.08,48.674631578947356,48.647578947368416,44.67926315789473,1.3611578947368423,1.363578947368421,1.4653684210526317
105.27,47.936605263157894,50.90673684210527,47.331526315789475,1.377842105263158,1.3027105263157894,1.398657894736842
108.46,53.270052631578956,51.854368421052634,49.0388947368421,1.235315789473684,1.275421052631579,1.354578947368421
111.64999999999999,54.858947368421056,51.885657894736845,47.94986842105263,1.1948684210526315,1.2723684210526316,1.3805263157894736
114.84,50.91968421052631,51.98831578947368,46.22442105263158,1.3022105263157895,1.268842105263158,1.4226315789473682
118.03,50.61467543859649,50.80465789473684,47.30454385964912,1.3106052631578948,1.302421052631579,1.3946491228070175
121.22,50.309666666666665,49.620999999999995,48.38466666666667,1.3190000000000002,1.336,1.3666666666666667
124.41,50.00465789473684,48.437342105263156,49.464789473684206,1.3273947368421053,1.369578947368421,1.3386842105263157
127.6,52.73526315789474,50.27,49.16315789473684,1.254736842105263,1.3221052631578947,1.3473684210526318
130.79,52.72718421052632,49.48918421052632,48.60376315789474,1.2543947368421051,1.3427631578947368,1.3641842105263158
133.98,51.035999999999994,46.992368421052625,48.14247368421053,1.2990526315789477,1.4067894736842106,1.3777368421052631
137.17,53.231131578947355,48.486789473684205,46.855315789473686,1.2411578947368425,1.3623947368421057,1.4087631578947368
140.35999999999999,42.98115789473687,41.216947368421074,43.88357894736843,1.50978947368421,1.555473684210526,1.484315789473684
143.55,49.204605263157916,53.48697368421056,50.903026315789496,1.3436842105263154,1.228421052631578,1.3036842105263153
146.74,52.91957894736843,52.00121052631576,54.22773684210527,1.246894736842105,1.2716315789473693,1.2130526315789472
149.93,52.38202631578946,50.10847368421054,51.08473684210523,1.2609736842105266,1.3235789473684207,1.2947105263157903
153.12,50.70873684210527,51.247263157894736,45.70736842105262,1.3041052631578947,1.2917894736842106,1.437684210526316
156.31,48.0,48.0,48.0,1.35,1.35,1.35
