Soil sample date: 23-09-18,,,,,,,
Plot,Treatments,Block,Depth (cm),Dry Bulk density (g/cm3),Porosity (%),Moisture content (%),Rock volume (%)
14,CTF Zero,2,20,1.26,52.48,12.31,6.05
14,CTF Zero,2,30,1.31,50.73,9.41,1.36
15,STP Zero,2,10,1.29,51.40,16.64,2.37
15,STP Zero,2,20,1.30,50.97,12.79,3.86
15,STP Zero,2,30,1.31,50.44,11.35,2.37
16,LTP Zero,2,10,1.33,49.65,15.97,3.26
16,LTP Zero,2,20,1.36,48.77,11.77,4.24
16,LTP Zero,2,30,1.39,47.47,10.71,2.44
17,CTF Deep,2,10,1.00,62.29,14.63,2.78
17,CTF Deep,2,20,1.15,56.70,14.12,4.31
17,CTF Deep,2,30,1.29,51.40,10.26,3.50
18,STP Deep,2,10,1.17,55.94,13.02,0.73
18,STP Deep,2,20,1.26,52.48,11.94,10.89
18,STP Deep,2,30,1.31,50.62,10.81,2.90
19,CTF Shallow,2,10,1.23,53.68,15.15,4.18
19,CTF Shallow,2,20,1.36,48.80,13.21,1.82
19,CTF Shallow,2,30,1.39,47.48,10.06,2.37
20,STP Zero,3,10,1.33,49.70,15.28,0.67
20,STP Zero,3,20,1.48,44.17,13.34,4.80
20,STP Zero,3,30,1.42,46.60,10.66,1.05
21,LTP Deep,3,10,1.43,46.03,16.45,2.62
21,LTP Deep,3,20,1.45,45.16,13.73,1.69
21,LTP Deep,3,30,1.49,43.66,10.68,4.00
22,CTF Deep,3,10,1.13,57.28,13.25,4.40
22,CTF Deep,3,20,1.20,54.66,12.84,1.57
22,CTF Deep,3,30,1.34,49.46,10.25,3.09
23,STP Shallow,3,10,1.33,49.73,14.76,1.71
23,STP Shallow,3,20,1.40,46.98,10.95,7.59
23,STP Shallow,3,30,1.55,41.41,11.33,2.13
24,CTF Zero,3,10,1.20,54.70,15.97,2.04
24,CTF Zero,3,20,1.30,50.92,14.10,1.55
24,CTF Zero,3,30,1.31,50.74,12.37,6.25
25,STP Deep,3,10,1.23,53.75,14.49,2.60
25,STP Deep,3,20,1.31,50.75,14.05,2.33
25,STP Deep,3,30,1.36,48.70,9.86,7.24
26,LTP Zero,3,10,1.32,50.15,14.96,3.19
26,LTP Zero,3,20,1.41,46.79,12.36,7.08
26,LTP Zero,3,30,1.46,45.08,11.12,4.66
27,LTP Shallow,3,10,1.20,54.72,14.83,5.53
27,LTP Shallow,3,20,1.47,44.65,12.70,4.20
27,LTP Shallow,3,30,1.31,50.52,10.97,4.84
28,CTF Shallow,3,10,0.99,62.55,12.73,3.34
28,CTF Shallow,3,20,1.18,55.31,12.45,6.59
28,CTF Shallow,3,30,1.17,55.67,11.45,9.80
29,STP Zero,3,10,1.31,50.63,14.95,3.02
29,STP Zero,3,20,1.32,50.26,10.49,5.67
29,STP Zero,3,30,1.39,47.65,2.73,3.20
30,LTP Zero,4,10,1.40,47.01,15.17,0.79
30,LTP Zero,4,20,1.43,46.22,10.73,4.11
30,LTP Zero,4,30,1.33,49.98,10.18,2.57
31,STP Deep,4,10,1.07,59.47,13.06,8.59
31,STP Deep,4,20,1.38,47.93,12.27,9.05
31,STP Deep,4,30,1.35,49.04,7.34,11.03
32,LTP Deep,4,10,1.36,48.72,15.06,1.57
32,LTP Deep,4,20,1.28,51.76,12.64,4.43
32,LTP Deep,4,30,1.31,50.71,10.45,4.78
33,STP Shallow,4,10,1.37,48.31,15.46,4.07
33,STP Shallow,4,20,1.41,46.91,9.45,3.66
33,STP Shallow,4,30,1.29,51.28,9.86,6.13
34,CTF Zero,4,10,1.15,56.78,14.73,1.92
34,CTF Zero,4,20,1.24,53.36,14.21,3.83
34,CTF Zero,4,30,1.28,51.85,11.39,2.14
35,LTP Shallow,4,10,1.27,52.17,14.08,2.21
35,LTP Shallow,4,20,1.34,49.59,12.84,8.92
35,LTP Shallow,4,30,1.39,47.42,9.30,3.37
36,CTF Deep,4,10,1.06,59.84,12.80,1.10
36,CTF Deep,4,20,1.09,59.02,12.43,3.79
36,CTF Deep,4,30,NA,NA,NA,NA
