Channel,fmin,fmax,tbeg,tend,noiselevel
44,25.00,50.00,0.012000,0.198000,0.00000749
45,25.00,50.00,0.012000,0.290000,0.00001096
46,25.00,50.00,0.012000,0.258000,0.00000635
47,25.00,50.00,0.012000,0.272000,0.00000623
48,25.00,50.00,0.012000,0.386000,0.00001028
49,25.00,50.00,0.012000,0.498000,0.00001034
50,25.00,50.00,0.012000,0.660000,0.00001880
51,25.00,50.00,0.012000,0.628000,0.00001640
52,25.00,50.00,0.012000,0.288000,0.00000717
53,25.00,50.00,0.012000,0.210000,0.00001375
54,25.00,50.00,0.012000,0.142000,0.00001212
55,25.00,50.00,0.012000,0.234000,0.00001013
56,25.00,50.00,0.012000,0.394000,0.00002132
57,25.00,50.00,0.012000,0.472000,0.00001559
58,25.00,50.00,0.012000,0.346000,0.00000914
59,25.00,50.00,0.012000,0.428000,0.00000683
60,25.00,50.00,0.012000,0.606000,0.00001287
61,25.00,50.00,0.012000,0.542000,0.00001127
62,25.00,50.00,0.012000,0.578000,0.00002163
63,25.00,50.00,0.012000,0.512000,0.00519999
64,25.00,50.00,0.012000,0.772000,0.00088619
65,25.00,50.00,0.012000,0.586000,0.00109628
66,25.00,50.00,0.012000,0.308000,0.00001266
67,25.00,50.00,0.012000,0.650000,0.00001248
68,25.00,50.00,0.012000,0.596000,0.00000816
69,25.00,50.00,0.012000,0.552000,0.00002008
70,25.00,50.00,0.012000,0.634000,0.00002447
71,25.00,50.00,0.012000,0.564000,0.00003629
72,25.00,50.00,0.012000,0.806000,0.00006124
73,25.00,50.00,0.012000,0.676000,0.00450216
74,25.00,50.00,0.012000,0.694000,0.00467825
75,25.00,50.00,0.012000,0.698000,0.00463491
76,25.00,50.00,0.012000,0.762000,0.00030281
77,25.00,50.00,0.012000,0.700000,0.00255767
78,25.00,50.00,0.012000,0.764000,0.00253786
79,25.00,50.00,0.012000,0.672000,0.00208456
80,25.00,50.00,0.012000,0.288000,0.00000587
81,25.00,50.00,0.012000,0.358000,0.00000501
82,25.00,50.00,0.012000,0.312000,0.00000819
83,25.00,50.00,0.012000,0.274000,0.00000638
84,25.00,50.00,0.012000,0.236000,0.00000767
85,25.00,50.00,0.012000,0.304000,0.00000436
86,25.00,50.00,0.012000,0.278000,0.00000746
87,25.00,50.00,0.012000,0.300000,0.00000357
88,25.00,50.00,0.012000,0.692000,0.00004013
89,25.00,50.00,0.012000,0.732000,0.00006231
90,25.00,50.00,0.012000,0.682000,0.00004111
91,25.00,50.00,0.012000,0.306000,0.00000907
92,25.00,50.00,0.012000,0.628000,0.00084665
93,25.00,50.00,0.012000,0.744000,0.00408048
